sample_name	strain_name	carbon_sour	bio_rep	Experiment	CFUs_mL
D31-D16_Tre	DGS31	4_Trehalose	Bio3	coculture_DGS31	170000000
D31-D16_Tre	DGS16	4_Trehalose	Bio3	coculture_DGS31	160000000
D31-D2_Malt	DGS31	5_Maltose	Bio1	coculture_DGS31	160000000
D31-D2_Malt	DGS2	5_Maltose	Bio1	coculture_DGS31	120000000
D31-D4_Malt	DGS31	5_Maltose	Bio1	coculture_DGS31	180000000
D31-D4_Malt	DGS4	5_Maltose	Bio1	coculture_DGS31	10000000
D31-D16_Malt	DGS31	5_Maltose	Bio1	coculture_DGS31	290000000
D31-D16_Malt	DGS16	5_Maltose	Bio1	coculture_DGS31	120000000
D31-D2_Malt	DGS31	5_Maltose	Bio2	coculture_DGS31	130000000
D31-D2_Malt	DGS2	5_Maltose	Bio2	coculture_DGS31	40000000
D31-D4_Malt	DGS31	5_Maltose	Bio2	coculture_DGS31	240000000
D31-D4_Malt	DGS4	5_Maltose	Bio2	coculture_DGS31	30000000
D31-D16_Malt	DGS31	5_Maltose	Bio2	coculture_DGS31	220000000
D31-D16_Malt	DGS16	5_Maltose	Bio2	coculture_DGS31	140000000
D31-D2_Malt	DGS31	5_Maltose	Bio3	coculture_DGS31	110000000
D31-D2_Malt	DGS2	5_Maltose	Bio3	coculture_DGS31	190000000
D31-D4_Malt	DGS31	5_Maltose	Bio3	coculture_DGS31	180000000
D31-D4_Malt	DGS4	5_Maltose	Bio3	coculture_DGS31	30000000
D31-D16_Malt	DGS31	5_Maltose	Bio3	coculture_DGS31	210000000
D31-D16_Malt	DGS16	5_Maltose	Bio3	coculture_DGS31	400000000
D31-D2_Cell	DGS31	6_Cellobiose	Bio1	coculture_DGS31	400000000
D31-D2_Cell	DGS2	6_Cellobiose	Bio1	coculture_DGS31	90000000
D31-D4_Cell	DGS31	6_Cellobiose	Bio1	coculture_DGS31	300000000
D31-D4_Cell	DGS4	6_Cellobiose	Bio1	coculture_DGS31	40000000
D31-D16_Cell	DGS31	6_Cellobiose	Bio1	coculture_DGS31	1100000000
D31-D16_Cell	DGS16	6_Cellobiose	Bio1	coculture_DGS31	1000000000
D31-D2_Cell	DGS31	6_Cellobiose	Bio2	coculture_DGS31	400000000
D31-D2_Cell	DGS2	6_Cellobiose	Bio2	coculture_DGS31	80000000
D31-D4_Cell	DGS31	6_Cellobiose	Bio2	coculture_DGS31	10000000
D31-D4_Cell	DGS4	6_Cellobiose	Bio2	coculture_DGS31	20000000
D31-D16_Cell	DGS31	6_Cellobiose	Bio2	coculture_DGS31	700000000
D31-D16_Cell	DGS16	6_Cellobiose	Bio2	coculture_DGS31	600000000
D31-D2_Cell	DGS31	6_Cellobiose	Bio3	coculture_DGS31	400000000
D31-D2_Cell	DGS2	6_Cellobiose	Bio3	coculture_DGS31	260000000
D31-D4_Cell	DGS31	6_Cellobiose	Bio3	coculture_DGS31	400000000
D31-D4_Cell	DGS4	6_Cellobiose	Bio3	coculture_DGS31	40000000
D31-D16_Cell	DGS31	6_Cellobiose	Bio3	coculture_DGS31	300000000
D31-D16_Cell	DGS16	6_Cellobiose	Bio3	coculture_DGS31	190000000
